UniqueID,run_name,run_order,sample,group,SEM_file,blank1,blank2,ABS_file
Mo22_0208,spiffy_lang,1,Group001Sample0001,Group001,Group001Sample0001SEM.dat,Group006Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0001ABS.dat
Mo22_0184,spiffy_lang,2,Group001Sample0002,Group001,Group001Sample0002SEM.dat,Group006Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0002ABS.dat
Mo22_0182,spiffy_lang,3,Group001Sample0003,Group001,Group001Sample0003SEM.dat,Group006Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0003ABS.dat
Mo22_0210,spiffy_lang,4,Group001Sample0004,Group001,Group001Sample0004SEM.dat,Group006Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0004ABS.dat
Mo22_0172,spiffy_lang,5,Group001Sample0005,Group001,Group001Sample0005SEM.dat,Group006Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0005ABS.dat
Mo22_0168,spiffy_lang,6,Group001Sample0006,Group001,Group001Sample0006SEM.dat,Group006Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0006ABS.dat
Mo22_0170,spiffy_lang,7,Group001Sample0007,Group001,Group001Sample0007SEM.dat,Group006Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0007ABS.dat
Mo22_0142,spiffy_lang,8,Group002Sample0001,Group002,Group002Sample0001SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0001ABS.dat
Mo22_0188,spiffy_lang,9,Group002Sample0002,Group002,Group002Sample0002SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0002ABS.dat
Mo22_0186,spiffy_lang,10,Group002Sample0003,Group002,Group002Sample0003SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0003ABS.dat
Mo22_0164,spiffy_lang,11,Group002Sample0004,Group002,Group002Sample0004SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0004ABS.dat
Mo22_0144,spiffy_lang,12,Group002Sample0005,Group002,Group002Sample0005SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0005ABS.dat
Mo22_0204,spiffy_lang,13,Group002Sample0006,Group002,Group002Sample0006SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0006ABS.dat
Mo22_0206,spiffy_lang,14,Group002Sample0007,Group002,Group002Sample0007SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0007ABS.dat
Mo22_0166,spiffy_lang,15,Group003Sample0001,Group003,Group003Sample0001SEM.dat,Group003Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0001ABS.dat
Mo22_0158,spiffy_lang,16,Group003Sample0002,Group003,Group003Sample0002SEM.dat,Group003Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0002ABS.dat
Mo22_0160,spiffy_lang,17,Group003Sample0003,Group003,Group003Sample0003SEM.dat,Group003Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0003ABS.dat
Mo22_0150,spiffy_lang,18,Group003Sample0004,Group003,Group003Sample0004SEM.dat,Group003Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0004ABS.dat
Mo22_0152,spiffy_lang,19,Group003Sample0005,Group003,Group003Sample0005SEM.dat,Group003Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0005ABS.dat
Mo22_0156,spiffy_lang,20,Group003Sample0006,Group003,Group003Sample0006SEM.dat,Group003Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0006ABS.dat
Mo22_0154,spiffy_lang,21,Group003Sample0007,Group003,Group003Sample0007SEM.dat,Group003Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0007ABS.dat
Mo22_0146,spiffy_lang,22,Group004Sample0001,Group004,Group004Sample0001SEM.dat,Group004Sample0001BEM.dat,Group005Sample0001BEM.dat,Group004Sample0001ABS.dat
Mo22_0194,spiffy_lang,23,Group004Sample0002,Group004,Group004Sample0002SEM.dat,Group004Sample0001BEM.dat,Group005Sample0001BEM.dat,Group004Sample0002ABS.dat
Mo22_0192,spiffy_lang,24,Group004Sample0003,Group004,Group004Sample0003SEM.dat,Group004Sample0001BEM.dat,Group005Sample0001BEM.dat,Group004Sample0003ABS.dat
Mo22_0178,spiffy_lang,25,Group004Sample0004,Group004,Group004Sample0004SEM.dat,Group004Sample0001BEM.dat,Group005Sample0001BEM.dat,Group004Sample0004ABS.dat
